True,Predicted,Correct
111XM,T11XM,False
113EV,1i3EV,False
119bg,119bg,True
11AvS,11AvS,True
11Cbx,11cbx,False
11DXU,1lDXU,False
11g54,11g54,True
11kL8,11kL8,True
11rbg,11rbg,True
11rqV,1IrqV,False
11XrW,11XrW,True
12Agx,I2Agx,False
12cgs,12cgs,True
12E8r,12E8r,True
12fk4,pfk4,False
12NuE,12NuE,True
1349p,1349p,True
13nGb,13NgB,False
13OVS,13OVS,True
13qTh,13qTh,True
13Wvp,13Wvp,True
147sl,l47sI,False
1483t,1483t,True
14CMy,14CMy,True
14KrL,14KTL,False
14lHl,14lHl,True
14NQv,14NQv,True
14qM9,4qM9,False
14SDF,14SDF,True
14zd6,11zd6,False
158JO,158JO,True
158rY,158rY,True
15dQH,45dQH,False
15Htv,16Htv,False
15l1c,15IIc,False
15SyR,15SyR,True
15YcO,15YcO,True
163ne,163ne,True
163uf,163uf,True
169KP,169KP,True
16BAl,16BAl,True
16jaG,16jag,False
16JLI,16jLi,False
16OzU,16OzU,True
16TXj,16TXj,True
16ueL,16ueL,True
16zjD,16ZJD,False
175Nb,175NB,False
1791b,1791b,True
17AdV,174dV,False
17AgO,l7AgO,False
17Gpu,17gpU,False
17Kaa,17KAa,False
17kXU,17kXU,True
17NP1,17NPT,False
17nXC,17nXC,True
17u3r,1f7u3r,False
17UFt,17UFt,True
1876i,1876i,True
188A3,188A3,True
18H8h,18H8h,True
18L6K,18L6K,True
18Qir,18Qir,True
18ttq,18ttq,True
191yW,191yW,True
193LZ,193Lz,False
19guT,19gul,False
19pHe,19pHe,True
19Rfn,19Rfn,True
19UWK,19uwk,False
19vM2,19vM2,True
1a2BM,1A2bM,False
1A5b9,1A5b9,True
1A6HY,1A6HY,True
1a6QN,1a6QN,True
1A8u5,1A8u5,True
1acrt,1acrt,True
1acsB,1acsB,True
1aCtB,1hCtB,False
1adpI,1ADPi,False
1aELL,1aELL,True
1AG88,1AG88,True
1aghB,1aghB,True
1AHAP,1AHAp,False
1AHJZ,1AHJz,False
1ajaO,1aiaO,False
1AjSZ,1AJsz,False
1AKDC,1AKDC,True
1ApUu,1ApUu,True
1APWG,1ApwG,False
1AqLv,1AqLv,True
1AsjD,1AsjD,True
1AVLO,1AvlO,False
1aXSz,1aXSz,True
1bBdK,1bBDK,False
1benr,1BENr,False
1bHXs,1bHXs,True
1bJAM,1bJAM,True
1BP2V,1BP2V,True
1bxYU,1bxYu,False
1C47m,1C47m,True
1C5dz,1C5dz,True
1CCu2,lCCu2,False
1cipi,1Cipi,False
1cjz6,1cjz6,True
1cKYG,1cKyG,False
1CmaD,1CmaD,True
1cnHX,1cnHX,True
1CNyM,1CNyM,True
1CpId,1CpId,True
