True,Predicted,Correct
111XM,T11XM,False
113EV,1i3EV,False
119bg,119bg,True
11AvS,11AvS,True
11Cbx,11cBX,False
11DXU,11DXU,True
11g54,11g54,True
11kL8,11kL8,True
11rbg,11rbg,True
11rqV,1IrqV,False
11XrW,11XrW,True
12Agx,12Agx,True
12cgs,12cgs,True
12E8r,12E8r,True
12fk4,12fk4,True
12NuE,12NuE,True
1349p,1349p,True
13nGb,13NGB,False
13OVS,13OVS,True
13qTh,13qTh,True
13Wvp,13Wvp,True
147sl,I47sI,False
1483t,1483t,True
14CMy,14CMy,True
14KrL,14KTL,False
14lHl,14lHl,True
14NQv,14NQv,True
14qM9,14qM9,True
14SDF,14SDF,True
14zd6,14zd6,True
158JO,158JO,True
158rY,158rY,True
15dQH,15dQH,True
15Htv,15Htv,True
15l1c,15I1c,False
15SyR,15SyR,True
15YcO,15YcO,True
163ne,163ne,True
163uf,163uf,True
169KP,169KP,True
16BAl,16BAl,True
16jaG,16Jag,False
16JLI,16jli,False
16OzU,16OzU,True
16TXj,16TXj,True
16ueL,16ueL,True
16zjD,16ZJD,False
175Nb,175nB,False
1791b,1791b,True
17AdV,17AdV,True
17AgO,17AgO,True
17Gpu,17gpu,False
17Kaa,17KAa,False
17kXU,17kXU,True
17NP1,17NPI,False
17nXC,17nXC,True
17u3r,17u3r,True
17UFt,17UFt,True
1876i,1876i,True
188A3,188A3,True
18H8h,18H8h,True
18L6K,18L6K,True
18Qir,18Qir,True
18ttq,18ttq,True
191yW,191yW,True
193LZ,193LZ,True
19guT,19guT,True
19pHe,19pHe,True
19Rfn,19Rfn,True
19UWK,19uWk,False
19vM2,19vM2,True
1a2BM,1a2bm,False
1A5b9,1A5b9,True
1A6HY,1A6hy,False
1a6QN,1a6QN,True
1A8u5,1A8u5,True
1acrt,1acrt,True
1acsB,1acsB,True
1aCtB,IaCtB,False
1adpI,1ADPI,False
1aELL,1aELL,True
1AG88,1AG88,True
1aghB,1aghB,True
1AHAP,1ahaP,False
1AHJZ,1AHJZ,True
1ajaO,1aiaO,False
1AjSZ,1aJsz,False
1AKDC,1AKDC,True
1ApUu,1ApUu,True
1APWG,1apWg,False
1AqLv,1AqLv,True
1AsjD,1AsjD,True
1AVLO,1avlO,False
1aXSz,1aXSz,True
1bBdK,1BBDK,False
1benr,1benr,True
1bHXs,1bHXs,True
1bJAM,1bJAM,True
1BP2V,1bp2v,False
1bxYU,1bxyU,False
1C47m,1C47m,True
1C5dz,1C5dz,True
1CCu2,lCCu2,False
1cipi,1cipi,True
1cjz6,1cjz6,True
1cKYG,1ckyg,False
1CmaD,1CmaD,True
1cnHX,1caHX,False
1CNyM,1CNyM,True
1CpId,1CpId,True
